microservice_name,responsibility,communicates_with
Identity and Access Service,"Manages users, personal and contractual data, access profiles, roles, local and LDAP authentication, password lifecycle (change, reset, expiry), and scope-based authorization over critical entities.",HR and Vacation Service;Document Service;Notification Service
Administration Master Data Service,"Maintains supporting master data used across the system such as departments, contract types, user categories, organization types, interaction types, tax reasons, billing schemes, frequencies, and individual user settings.",Identity and Access Service;CRM Service;Billing and Finance Service;Project and Activity Service
HR and Vacation Service,"Manages employment agreements, vacation requests and their lifecycle, vacation balance calculation using business days, proportional entitlement, and contract/probation expiry tracking.",Identity and Access Service;Notification Service;Administration Master Data Service
CRM Service,"Manages organizations, contacts, external collaborators, job roles, interaction types, commercial interactions, proposal lifecycle, proposal composition, potential classification, duplication, and rejection reasons.",Billing and Finance Service;Administration Master Data Service;Reporting Service
Project and Activity Service,"Manages projects, project roles and costs, activity time reporting, billable/non-billable classification, workday time rules, objectives, work allocations, and evidence policies with associated proof requirements.",Billing and Finance Service;Notification Service;Administration Master Data Service;Reporting Service
Billing and Finance Service,"Manages accounts, transaction types and groups, recurring transactions, accounts receivable/payable, billing records and items, tax and withholding calculations, due dates, outstanding balances, payment status, and credit instrument associations.",CRM Service;Project and Activity Service;Reporting Service;Administration Master Data Service
Orders and Commissions Service,"Manages orders and commissions linked to projects, reviewers and collaborators, order workflow states, delays and changes, textual change history, related files, and sending order documents by email.",Project and Activity Service;Notification Service;Document Service
Document Service,"Manages document categorization, versioning, associations with responsible people and areas, per-user document folders, institutional knowledge base content, notice boards, and public notices, backed by external file storage.",Identity and Access Service
Reporting Service,"Generates consolidated and domain-specific reports (billing, hours, projects, proposals, interactions, organizations, commissions) and exports them and operational queries in multiple formats such as CSV, PDF, XLS, and ODT.",Billing and Finance Service;CRM Service;Project and Activity Service
Notification Service,"Sends email notifications for business events such as vacation requests, contract expiry, password reset, pending evidence, and order updates, respecting configuration toggles.",HR and Vacation Service;Project and Activity Service;Orders and Commissions Service;Identity and Access Service
