project,provider,model,prompt,generated_services,reference_services,service_tp,service_fp,service_fn,service_precision,service_recall,service_f1,generated_communications,reference_communications,communication_tp,communication_fp,communication_fn,communication_precision,communication_recall,communication_f1,combined_precision,combined_recall,combined_f1
7ep,DeepSeek,deepseek-chat,zero_shot,4,7,2,2,5,0.5,0.2857142857142857,0.36363636363636365,6,12,0,6,12,0.0,0.0,0.0,0.2,0.10526315789473684,0.13793103448275862
7ep,DeepSeek,deepseek-chat,few_shot,3,7,2,1,5,0.6666666666666666,0.2857142857142857,0.4,2,12,0,2,12,0.0,0.0,0.0,0.4,0.10526315789473684,0.16666666666666666
7ep,OpenAI,gpt-5.5-2026-04-23,zero_shot,4,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273,6,12,2,4,10,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.6,0.3157894736842105,0.41379310344827586
7ep,OpenAI,gpt-5.5-2026-04-23,few_shot,4,7,3,1,4,0.75,0.42857142857142855,0.5454545454545454,6,12,1,5,11,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.4,0.21052631578947367,0.27586206896551724
7ep,Claude,claude-opus-4-8,zero_shot,4,7,3,1,4,0.75,0.42857142857142855,0.5454545454545454,4,12,0,4,12,0.0,0.0,0.0,0.375,0.15789473684210525,0.22222222222222218
7ep,Claude,claude-opus-4-8,few_shot,4,7,2,2,5,0.5,0.2857142857142857,0.36363636363636365,6,12,1,5,11,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.3,0.15789473684210525,0.20689655172413793
acmeair,DeepSeek,deepseek-chat,zero_shot,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,13,8,3,10,5,0.23076923076923078,0.375,0.2857142857142857,0.42105263157894735,0.5714285714285714,0.48484848484848486
acmeair,DeepSeek,deepseek-chat,few_shot,5,6,4,1,2,0.8,0.6666666666666666,0.7272727272727272,9,8,1,8,7,0.1111111111111111,0.125,0.11764705882352941,0.35714285714285715,0.35714285714285715,0.35714285714285715
acmeair,OpenAI,gpt-5.5-2026-04-23,zero_shot,4,6,4,0,2,1.0,0.6666666666666666,0.8,10,8,4,6,4,0.4,0.5,0.4444444444444445,0.5714285714285714,0.5714285714285714,0.5714285714285714
acmeair,OpenAI,gpt-5.5-2026-04-23,few_shot,5,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,16,8,7,9,1,0.4375,0.875,0.5833333333333334,0.5714285714285714,0.8571428571428571,0.6857142857142857
acmeair,Claude,claude-opus-4-8,zero_shot,5,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,9,8,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.8571428571428571,0.8571428571428571,0.8571428571428571
acmeair,Claude,claude-opus-4-8,few_shot,5,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,13,8,7,6,1,0.5384615384615384,0.875,0.6666666666666667,0.6666666666666666,0.8571428571428571,0.75
cargo-tracker,DeepSeek,deepseek-chat,zero_shot,4,6,4,0,2,1.0,0.6666666666666666,0.8,10,12,6,4,6,0.6,0.5,0.5454545454545454,0.7142857142857143,0.5555555555555556,0.6250000000000001
cargo-tracker,DeepSeek,deepseek-chat,few_shot,4,6,3,1,3,0.75,0.5,0.6,10,12,3,7,9,0.3,0.25,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.375
cargo-tracker,OpenAI,gpt-5.5-2026-04-23,zero_shot,3,6,3,0,3,1.0,0.5,0.6666666666666666,6,12,4,2,8,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.7777777777777778,0.3888888888888889,0.5185185185185185
cargo-tracker,OpenAI,gpt-5.5-2026-04-23,few_shot,3,6,3,0,3,1.0,0.5,0.6666666666666666,6,12,4,2,8,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.7777777777777778,0.3888888888888889,0.5185185185185185
cargo-tracker,Claude,claude-opus-4-8,zero_shot,5,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,11,12,7,4,5,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.75,0.6666666666666666,0.7058823529411765
cargo-tracker,Claude,claude-opus-4-8,few_shot,5,6,3,2,3,0.6,0.5,0.5454545454545454,14,12,3,11,9,0.21428571428571427,0.25,0.23076923076923075,0.3157894736842105,0.3333333333333333,0.3243243243243243
daytrader7,DeepSeek,deepseek-chat,zero_shot,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,14,13,5,9,8,0.35714285714285715,0.38461538461538464,0.3703703703703704,0.45,0.47368421052631576,0.46153846153846156
daytrader7,DeepSeek,deepseek-chat,few_shot,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,13,13,8,5,5,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6842105263157895,0.6842105263157895,0.6842105263157895
daytrader7,OpenAI,gpt-5.5-2026-04-23,zero_shot,4,6,4,0,2,1.0,0.6666666666666666,0.8,10,13,5,5,8,0.5,0.38461538461538464,0.4347826086956522,0.6428571428571429,0.47368421052631576,0.5454545454545454
daytrader7,OpenAI,gpt-5.5-2026-04-23,few_shot,4,6,4,0,2,1.0,0.6666666666666666,0.8,10,13,5,5,8,0.5,0.38461538461538464,0.4347826086956522,0.6428571428571429,0.47368421052631576,0.5454545454545454
daytrader7,Claude,claude-opus-4-8,zero_shot,5,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,13,13,9,4,4,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7777777777777778,0.7368421052631579,0.7567567567567567
daytrader7,Claude,claude-opus-4-8,few_shot,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,15,13,8,7,5,0.5333333333333333,0.6153846153846154,0.5714285714285715,0.6190476190476191,0.6842105263157895,0.6500000000000001
Jokul,DeepSeek,deepseek-chat,zero_shot,3,3,3,0,0,1.0,1.0,1.0,6,3,3,3,0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
Jokul,DeepSeek,deepseek-chat,few_shot,3,3,3,0,0,1.0,1.0,1.0,4,3,2,2,1,0.5,0.6666666666666666,0.5714285714285715,0.7142857142857143,0.8333333333333334,0.7692307692307692
Jokul,OpenAI,gpt-5.5-2026-04-23,zero_shot,3,3,3,0,0,1.0,1.0,1.0,6,3,3,3,0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
Jokul,OpenAI,gpt-5.5-2026-04-23,few_shot,3,3,3,0,0,1.0,1.0,1.0,6,3,3,3,0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
Jokul,Claude,claude-opus-4-8,zero_shot,3,3,3,0,0,1.0,1.0,1.0,6,3,3,3,0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
Jokul,Claude,claude-opus-4-8,few_shot,3,3,3,0,0,1.0,1.0,1.0,4,3,2,2,1,0.5,0.6666666666666666,0.5714285714285715,0.7142857142857143,0.8333333333333334,0.7692307692307692
jpetstore,DeepSeek,deepseek-chat,zero_shot,5,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,11,9,4,7,5,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.5625,0.6,0.5806451612903225
jpetstore,DeepSeek,deepseek-chat,few_shot,5,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,12,9,5,7,4,0.4166666666666667,0.5555555555555556,0.4761904761904762,0.5882352941176471,0.6666666666666666,0.625
jpetstore,OpenAI,gpt-5.5-2026-04-23,zero_shot,3,6,3,0,3,1.0,0.5,0.6666666666666666,6,9,2,4,7,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.5555555555555556,0.3333333333333333,0.4166666666666667
