microservice_name,responsibility,communicates_with
People and HR Management,"Register and maintain users with personal and contractual data (department, category, access profile, employment agreement), manage password lifecycle, and handle the full vacation-request lifecycle including state control, business-day balance calculation, proportional entitlement, and approver notifications. Emits notification events for vacation requests, contract/probation expiry, and password reset. Evidence: RF-04, RF-05, RF-06, RF-08 through RF-15, pkg com.autentia.tnt.manager.admin.",Security and Access Control;Administration and Master Data;Notification and Integration;Document Management
Commercial CRM and Proposals,"Maintain organizations, contacts, external collaborators, job roles and interaction types; record commercial interactions linked to contacts, proposals and projects; manage the proposal lifecycle with classification, rejection reasons, duplication, and conversion into billing drafts. Evidence: RF-16, RF-17, RF-19, RF-20, RF-24, pkg com.autentia.tnt.manager.contacts, pkg com.autentia.tnt.bean.contacts.",Finance and Billing;Project and Time Reporting;Notification and Integration;Security and Access Control;Administration and Master Data
Project and Time Reporting,"Record internal and external activities by employee, date, client, project and role; classify billable and workday-counting time; maintain objectives and work allocations; enforce evidence policies; emit pending-evidence alerts; and produce consolidated hours reports by user, project and organization. Evidence: RF-25, RF-27, RF-28, RF-30, RF-32, RF-33, pkg com.autentia.tnt.bean.activity.",Finance and Billing;Administration and Master Data;Notification and Integration;Security and Access Control
Finance and Billing,"Maintain accounts, transaction types, groups and recurring financial transactions; record accounts receivable and payable via billing records; detail billing items with taxes and attachments; and automatically calculate totals, withholdings, outstanding balances, due dates, and paid status. Evidence: RF-34, RF-36, RF-37, RF-38, RF-44, RF-45, pkg com.autentia.tnt.manager.billing.",Commercial CRM and Proposals;Project and Time Reporting;Orders and Commissions;Security and Access Control;Administration and Master Data
Document Management,"Organize versioned documents by category, associate documents with responsible people and organizational areas, and maintain publications, magazines, tutorials and notice boards as institutional knowledge base and internal communication content. Evidence: RF-49, RF-50, RF-51, RF-54, RF-55.",Security and Access Control;Notification and Integration
Orders and Commissions,"Record orders and commissions linked to projects, reviewers, collaborators and payment data; control the order workflow states (created, approved, accepted, confirmed, validated, completed); and preserve a textual history of changes. Emits notification events for order documents and workflow changes. Evidence: RF-58, RF-59, RF-61, RF-62.",Finance and Billing;Notification and Integration;Security and Access Control;Administration and Master Data
Reporting and Exports,"Provide reports by business domain (billing, hours, projects, proposals, interactions, organizations, commissions) and export outputs in multiple formats including CSV, PDF, XLS, RTF, HTML, ODT. All report generation is subject to scope-based access control on the underlying critical entities. Evidence: RF-63, RF-64, RF-65, RNF-69, pkg com.autentia.tnt.bean.reports, pkg com.autentia.tnt.report, ext net.sf.jasperreports.",Finance and Billing;Project and Time Reporting;Commercial CRM and Proposals;Orders and Commissions;Security and Access Control
Security and Access Control,"Control access by user profile with scope-based restrictions (full, own records, by area), apply access control to critical entities across modules, and support local and LDAP authentication. This is a cross-cutting authorization concern: all domain services invoke it for authorization checks, and it resolves user/profile data from People and HR Management. Evidence: RNF-66, RNF-67, RNF-68, RNF-69, pkg com.autentia.tnt.manager.security, ext org.acegisecurity.acls.",People and HR Management
Administration and Master Data,"Maintain supporting master data used across areas (departments, contract types, user categories, organization types, tax reasons, billing schemes, frequencies) and maintain projects and employment agreements with their periods and rules. Consumed by People and HR, Finance and Billing, Commercial CRM, Project and Time Reporting, and Orders and Commissions for shared master data. Evidence: RF-01, RF-02, RF-03, pkg com.autentia.tnt.manager.admin.",People and HR Management
Notification and Integration,"Asynchronously consume business events published by domain services (vacation requests, contract expiry, password reset, pending evidence, orders) and send corresponding email notifications; generate interoperable outputs for external consumption. Interaction is event-driven: emitting services (People and HR, Commercial CRM, Project and Time Reporting, Document Management, Orders and Commissions) publish events consumed by this service rather than invoking it synchronously; hence it has no outbound synchronous dependencies. Evidence: RNF-73, RNF-74, role event=4.",
