"Microservice Name","Description","Communicate With"
"Administration and Configuration Service","Responsible for maintaining shared administrative reference data used across the application, including departments, contract types, user categories, organization types, interaction types, tax reasons, billing regimes and frequencies, as well as configurable operational rules and individual user preferences.","None"
"Identity and Access Service","Responsible for local and LDAP authentication, password lifecycle and validation, administrative password reset, password expiration, user roles and profiles, and authorization rules based on role and scope for protected business operations.","Administration and Configuration Service;Notification Service"
"Workforce Service","Responsible for employee and user workforce data, contractual information, work agreements, annual workload and vacation entitlement, vacation requests and their lifecycle, business-day and proportional vacation-balance calculations, and monitoring of contracts or probation periods approaching expiration.","Administration and Configuration Service;Identity and Access Service;Content Management Service;Notification Service"
"CRM Service","Responsible for organizations, contacts, external collaborators, positions and commercial interactions, including advanced contact search and relationships between interactions, contacts, proposals and projects.","Administration and Configuration Service;Proposal Service;Project Service"
"Proposal Service","Responsible for commercial proposals, including business-potential classification, lifecycle states, rejection reasons, work roles, planned hours, materials, costs, billable-item designation, proposal duplication with new identifiers, and conversion of billable proposal content into draft billing.","CRM Service;Billing Service"
"Project Service","Responsible for projects linked to customers, including validity periods, open or closed status, participating roles, project-related costs, and the project context consumed by operational activities and commissioning workflows.","CRM Service"
"Work Tracking Service","Responsible for internal and external activity records, employee time tracking, project and role validation, billable and non-billable classification, working-time calculation, operational objectives and occupations, evidence requirements and policies, and consolidated operational hours data.","Project Service;Workforce Service;File Storage Service;Notification Service"
"Financial Management Service","Responsible for accounts, financial-entry types and groups, periodic and recurring financial entries, credit instruments, cash-flow-related indicators, operational funding needs and financial or fiscal information required by billing and management routines.","None"
"Billing Service","Responsible for issued and received billings, accounts receivable and payable originating from billing, invoice items, quantities, values, taxes, observations and attachments, automatic totals and withholding calculations, multiple due dates, final due date, open balance and paid status, importing billable operational hours and project costs, importing proposal items, and associating billings with credit instruments.","CRM Service;Proposal Service;Project Service;Work Tracking Service;Financial Management Service;File Storage Service"
"Content Management Service","Responsible for institutional documents and internal content, including document categories, version history, responsible parties and organizational areas, automatic per-user document categories, user-linked document navigation, publications, magazines, tutorials, categorized notice boards, public notices, ideas, inventory records, tags and links.","File Storage Service"
"Commissioning Service","Responsible for project-linked orders and commissioning workflows, including reviewers, collaborators, payment data, lifecycle states, delays, changes, related files, preserved textual change history, and sending related documents by email.","Project Service;Workforce Service;File Storage Service;Notification Service"
"Reporting Service","Responsible for consolidated business reports across billing, hours, projects, proposals, interactions, organizations, personal usage and commissioning, and for exporting reports and operational query results in formats such as CSV, PDF, HTML, RTF, XLS and ODT.","Workforce Service;CRM Service;Proposal Service;Project Service;Work Tracking Service;Billing Service;Financial Management Service;Commissioning Service;File Storage Service"
"Notification Service","Responsible for sending business email notifications triggered by events such as vacation requests, contract or probation expiration, password reset, missing operational evidence and commissioning activities, while respecting environment configuration for notification enablement.","Administration and Configuration Service"
"File Storage Service","Responsible for external storage of uploaded attachments, document files and generated reports, validating required storage configuration at startup, preparing the minimum directory structure automatically, and preserving filenames and content compatible with international characters.","Administration and Configuration Service"
