project,provider,model,prompt,generated_services,reference_services,service_tp,service_fp,service_fn,service_precision,service_recall,service_f1,generated_communications,reference_communications,communication_tp,communication_fp,communication_fn,communication_precision,communication_recall,communication_f1,combined_precision,combined_recall,combined_f1
cargo-tracker,DeepSeek,deepseek-chat,zero_shot,8,6,6,2,0,0.75,1.0,0.8571428571428571,15,12,6,9,6,0.4,0.5,0.4444444444444445,0.5217391304347826,0.6666666666666666,0.5853658536585366
cargo-tracker,DeepSeek,deepseek-chat,few_shot,5,6,4,1,2,0.8,0.6666666666666666,0.7272727272727272,7,12,1,6,11,0.14285714285714285,0.08333333333333333,0.10526315789473685,0.4166666666666667,0.2777777777777778,0.33333333333333337
cargo-tracker,Claude,claude-opus-4-8,zero_shot,4,6,3,1,3,0.75,0.5,0.6,7,12,2,5,10,0.2857142857142857,0.16666666666666666,0.2105263157894737,0.45454545454545453,0.2777777777777778,0.3448275862068966
cargo-tracker,Claude,claude-opus-4-8,few_shot,4,6,3,1,3,0.75,0.5,0.6,7,12,3,4,9,0.42857142857142855,0.25,0.3157894736842105,0.5454545454545454,0.3333333333333333,0.41379310344827586
Jokul,DeepSeek,deepseek-chat,zero_shot,4,3,3,1,0,0.75,1.0,0.8571428571428571,1,3,0,1,3,0.0,0.0,0.0,0.6,0.5,0.5454545454545454
Jokul,DeepSeek,deepseek-chat,few_shot,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5
Jokul,Claude,claude-opus-4-8,zero_shot,3,3,3,0,0,1.0,1.0,1.0,4,3,3,1,0,0.75,1.0,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923
Jokul,Claude,claude-opus-4-8,few_shot,3,3,3,0,0,1.0,1.0,1.0,2,3,1,1,2,0.5,0.3333333333333333,0.4,0.8,0.6666666666666666,0.7272727272727272
TNTConcept,DeepSeek,deepseek-chat,zero_shot,14,14,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857,78,38,15,63,23,0.19230769230769232,0.39473684210526316,0.25862068965517243,0.2826086956521739,0.5,0.3611111111111111
TNTConcept,DeepSeek,deepseek-chat,few_shot,13,14,8,5,6,0.6153846153846154,0.5714285714285714,0.5925925925925927,27,38,7,20,31,0.25925925925925924,0.18421052631578946,0.2153846153846154,0.375,0.28846153846153844,0.32608695652173914
TNTConcept,Claude,claude-opus-4-8,zero_shot,10,14,8,2,6,0.8,0.5714285714285714,0.6666666666666666,31,38,6,25,32,0.1935483870967742,0.15789473684210525,0.17391304347826086,0.34146341463414637,0.2692307692307692,0.3010752688172043
TNTConcept,Claude,claude-opus-4-8,few_shot,12,14,7,5,7,0.5833333333333334,0.5,0.5384615384615384,41,38,6,35,32,0.14634146341463414,0.15789473684210525,0.1518987341772152,0.24528301886792453,0.25,0.24761904761904763
