Requisitos - Categorias,Identificação,Descrição
Cadastro e abertura da carga,RF - 0,"O sistema deve permitir registrar uma nova carga informando origem, destino e prazo limite de chegada."
,RF - 02,Cada carga cadastrada deve receber um identificador unico de rastreamento.
,RF - 03,A origem e o destino da carga devem ser diferentes.
,RF - 04,A origem da carga deve permanecer fixa durante todo o ciclo logistico.
,RF - 05,O cadastro da carga pode ser concluido mesmo antes da definicao da rota.
,RF - 06,O prazo de chegada deve ser obrigatorio e deve servir como criterio para o planejamento da viagem.
,RF - 07,O sistema deve permitir selecionar origem e destino apenas entre localidades logisticas previamente cadastradas.
Planejamento e roteirizacao,RF - 08,O sistema deve consultar e apresentar rotas candidatas compativeis com a necessidade da carga.
,RF - 09,"Uma rota candidata so deve ser considerada valida quando respeitar a origem, o destino final e o prazo de chegada da carga."
,RF - 10,O usuario deve poder escolher uma das rotas apresentadas e vincula-la a carga.
,RF - 11,"Quando a carga ainda nao tiver rota definida, ela deve permanecer identificada como ""nao roteirizada""."
,RF - 12,"Quando nenhuma rota atender aos criterios informados, o sistema deve informar que nao ha opcao viavel para a especificacao atual."
,RF - 13,"O sistema deve exibir os trechos da rota escolhida, incluindo pontos de embarque, desembarque, viagem e datas previstas."
Replanejamento da viagem,RF - 14,O sistema deve permitir alterar o destino de uma carga ja cadastrada.
,RF - 15,O novo destino nao pode ser igual nem a origem nem ao destino atual da carga.
,RF - 16,"Ao alterar o destino, o sistema deve reavaliar a rota atual da carga."
,RF - 17,"Quando a rota atual deixar de atender ao novo destino, a carga deve passar a exigir nova roteirizacao."
,RF - 18,O sistema deve permitir replanejar a rota de cargas que ficaram fora da rota prevista ou que tiveram o destino alterado.
Acompanhamento e rastreamento,RF - 19,O sistema deve permitir consultar uma carga pelo identificador de rastreamento.
,RF - 20,"Na consulta, o sistema deve apresentar a situacao atual da carga."
,RF - 21,O sistema deve informar a ultima localizacao conhecida da carga.
,RF - 22, O sistema deve informar a previsao de chegada quando a carga estiver com rota valida e em curso compativel com o planejamento.
,RF - 23,O sistema deve manter e exibir o historico de eventos logisticos associados a carga.
,RF - 24,O historico deve diferenciar eventos esperados de eventos fora do planejado.
,RF - 25,O sistema deve sinalizar quando a carga estiver fora da rota esperada.
,RF - 26,"O sistema deve permitir visualizar a carga com apoio geografico, destacando origem, destino final e ultima localizacao conhecida."
Gestao operacional das cargas,RF - 27,O sistema deve disponibilizar uma visao administrativa consolidada das cargas.
,RF - 28,"As cargas devem ser agrupadas, no minimo, nas categorias ""nao roteirizadas"", ""roteirizadas em andamento"" e ""retiradas pelo destinatario""."
,RF - 29,O sistema deve permitir abrir o detalhamento de qualquer carga a partir da visao administrativa.
,RF - 30,Cargas roteirizadas e ainda nao retiradas devem poder ser acompanhadas como cargas em transito.
Registro de eventos logisticos,RF - 31,"O sistema deve permitir registrar eventos logisticos dos tipos: recebimento, embarque, desembarque, alfandega e retirada."
