microservice_name,responsibility,communicates_with
Supporting Master Data Service,"Maintain all supporting reference data used across the system, including departments, contract types, user categories, organization types, interaction types, tax reasons, billing schemes, and frequencies.",User Management Service;Vacation Management Service;CRM Service;Finance and Billing Service;Security and Access Control Service
User Management Service,"Manage users, access profiles, personal settings, and password lifecycle including password changes, administrative resets, and required renewal on expiry with validation rules.",Supporting Master Data Service;Security and Access Control Service;Vacation Management Service;Document Management Service;Notification Service;Reporting Service
Employment Agreement Service,"Maintain employment agreements with rules over a period, including annual workload and vacation allowance.",User Management Service;Vacation Management Service;Notification Service;Security and Access Control Service
Security and Access Control Service,"Enforce access control by user profile and scope, support local and LDAP authentication, and apply security to critical entities.",User Management Service;Employment Agreement Service;Vacation Management Service;Document Management Service;Finance and Billing Service;CRM Service;Project Management Service;Activity and Time Reporting Service;Order and Commission Service;Supporting Master Data Service
Vacation Management Service,"Record and manage vacation requests, calculate balances, control lifecycle, and notify approvers.",User Management Service;Employment Agreement Service;Notification Service;Security and Access Control Service;Reporting Service
CRM Service,"Manage organizations, contacts, external collaborators, job roles, interactions, and proposals including lifecycle, composition, duplication, and conversion to billing.",Supporting Master Data Service;Project Management Service;Finance and Billing Service;Security and Access Control Service;Reporting Service
Project Management Service,"Register and maintain projects associated with clients, including active period, status, involved roles, and related costs.",CRM Service;Activity and Time Reporting Service;Finance and Billing Service;Security and Access Control Service;Reporting Service
Activity and Time Reporting Service,"Record internal and external activities, classify billable/non-billable, distinguish workday time, maintain objectives and allocations, produce consolidated reports, and manage evidence with policies and alerts.",Project Management Service;User Management Service;Notification Service;Finance and Billing Service;Security and Access Control Service;Reporting Service
Finance and Billing Service,"Maintain accounts, transaction types/groups, recurring transactions; record receivables/payables; detail billing records; calculate totals, withholdings, outstanding balances, and paid status; manage due dates and credit instruments; import billable hours and project costs; track financial indicators.",Supporting Master Data Service;CRM Service;Project Management Service;Activity and Time Reporting Service;Order and Commission Service;Security and Access Control Service;Reporting Service
Document Management Service,"Organize documents by category, maintain versions, associate with responsible people and areas, auto-create per-user document categories, and maintain publications, notice boards, and other supporting content.",User Management Service;Security and Access Control Service;Reporting Service
Order and Commission Service,"Record orders and commissions linked to projects, reviewers, collaborators, and payment data; control workflow states; record delays, changes, and files; preserve textual history; send documents by email.",Project Management Service;Finance and Billing Service;Notification Service;Security and Access Control Service;Reporting Service
Notification Service,"Send email notifications for relevant business events such as vacation requests, contract expiry, password reset, pending evidence, and orders.",Vacation Management Service;User Management Service;Employment Agreement Service;Activity and Time Reporting Service;Order and Commission Service;Security and Access Control Service
Reporting Service,"Provide reports by business domain and export in multiple formats including CSV, PDF, HTML, RTF, XLS, and ODT.",Finance and Billing Service;Activity and Time Reporting Service;CRM Service;Project Management Service;Order and Commission Service;User Management Service;Document Management Service;Vacation Management Service;Security and Access Control Service
Operations and Configuration Service,"Manage operational continuity: external storage for attachments and reports, startup validation of configuration directories and files, preparation of minimum file storage structure, and configuration-based enabling/disabling of operational rules.",Document Management Service;Security and Access Control Service
