Requisitos - Categorias,Identificação,Descrição,"GitHub - tntconcept/TNTConcept: With TNTConcept you can manage, in an integrated way, your customers, providers, contacts, business interactions, projects, week objectives, project time-tracking, bills, cash flow ... Built with J2EE techs: JSF, Spring, Hibernate, Maven ... · GitHub"
Administração e cadastros de apoio,RF - 01,"O sistema deve permitir manter cadastros de apoio usados pelas demais áreas, como departamentos, tipos de contrato, categorias de usuário, tipos de organização, tipos de interação, motivos tributários, regimes de faturamento e frequências.",
,RF - 02,"O sistema deve permitir cadastrar e manter projetos vinculados a clientes, com período de vigência, situação aberta ou encerrada, papéis envolvidos e custos relacionados.",
,RF - 03,"O sistema deve permitir manter acordos de trabalho com regras vigentes por período, incluindo carga anual de trabalho e quantidade de férias.
- `RF-ADM-04` O sistema deve permitir configurações individuais por usuário para personalizar o uso da aplicação.",
"Pessoas, acessos e RH",RF - 04,"O sistema deve permitir cadastrar e manter usuários com dados pessoais, contratuais, departamento, categoria, perfil de acesso e acordo de trabalho.",
,RF - 05,"O sistema deve permitir alterar senha, resetar senha administrativamente e obrigar a renovação da senha quando ela expirar.",
,RF - 06,"O sistema deve impedir a troca de senha quando a senha atual estiver incorreta, quando a nova senha não for confirmada corretamente ou quando a nova senha for igual à anterior.",
,RF - 06,"O sistema deve permitir registrar solicitações de férias com datas de início e fim, ano de compensação, comentários do solicitante e observações da análise.",
,RF - 08,"O sistema deve controlar o ciclo da solicitação de férias com os estados pendente, aceita, rejeitada e cancelada.",
,RF - 09,O sistema deve impedir solicitações de férias com intervalo de datas inválido.,
,RF - 10,O sistema deve impedir solicitações que ultrapassem o saldo disponível de férias do colaborador.,
,RF -  11,"O sistema deve calcular o saldo de férias considerando somente dias úteis, desconsiderando fins de semana e feriados.",
,RF - 12,O sistema deve calcular o direito anual de férias de forma proporcional quando o colaborador estiver no primeiro ano de contrato.,
,RF - 13,O sistema deve considerar somente solicitações aprovadas para abatimento do saldo de férias.,
,RF - 14,O sistema deve notificar por e-mail os aprovadores configurados quando uma nova solicitação de férias for registrada.,
,RF - 15,O sistema deve avisar por e-mail quando contratos ou períodos de experiência estiverem próximos do vencimento.,
Relacionamento comercial e CRM,RF - 16,"O sistema deve permitir cadastrar e manter organizações, contatos, colaboradores externos, cargos e tipos de interação.",
,RF - 17,"O sistema deve permitir registrar interações comerciais e de relacionamento vinculadas a contatos, propostas e projetos.",
,RF - 18,O sistema deve permitir pesquisar contatos por critérios avançados e exportar o resultado para CSV.,
,RF - 19,"O sistema deve permitir classificar propostas por potencial de negócio, em níveis como alto, médio e baixo.",
,RF - 20,"O sistema deve controlar o ciclo da proposta com os estados aberta, aceita e rejeitada.",
,RF - 21,O sistema deve permitir registrar motivos de rejeição de propostas.,
,RF - 22,"O sistema deve permitir compor propostas com papéis de trabalho, horas previstas, materiais, custos e indicação do que pode ou não ser faturado.",
,RF - 23,"O sistema deve permitir duplicar uma proposta preservando sua composição, mas sem reaproveitar identificadores únicos.",
,RF - 24,"O sistema deve permitir converter uma proposta em rascunho de faturamento, reaproveitando contato, descrição e itens faturáveis.",
"Projetos, atividades e operação",RF - 25,"O sistema deve permitir registrar atividades internas e externas por colaborador, data, cliente, projeto, papel executado e descrição.",
,RF - 26,"O sistema deve priorizar, no apontamento operacional, projetos abertos e papéis válidos para execução.",
,RF - 27,O sistema deve permitir classificar atividades como faturáveis ou não faturáveis.,
,RF - 28,"O sistema deve diferenciar o tempo que compõe jornada de trabalho do tempo que não compõe jornada, para cálculo correto de horas trabalhadas.",
,RF - 29,O sistema deve permitir manter objetivos e ocupações vinculados à rotina operacional.,
,RF - 30,"O sistema deve apresentar relatórios consolidados de horas por usuário, projeto e organização.",
,RF - 31,O sistema deve permitir anexar evidências às atividades quando o projeto ou papel exigir comprovação.,
,RF - 32,"O sistema deve suportar políticas de evidência como sem exigência, exigência única ou exigência semanal.",
,RF - 33,"O sistema deve alertar por e-mail os colaboradores que tenham atividades recentes em projetos com exigência semanal de evidência, mas ainda sem comprovação anexada.",
Financeiro e faturamento,RF - 34,"O sistema deve permitir manter contas, tipos de lançamento, grupos de lançamento e lançamentos financeiros periódicos.",
,RF - 35,O sistema deve permitir copiar lançamentos periódicos para reaproveitar recorrências financeiras.,
,RF - 36,O sistema deve permitir registrar contas a receber e contas a pagar por meio de faturamentos emitidos e recebidos.,
,RF - 37,"O sistema deve permitir detalhar faturamentos por itens, quantidades, valores, tributos, observações e anexos.",
,RF - 38,O sistema deve calcular automaticamente o valor total do faturamento a partir dos itens detalhados.,
,RF - 39,O sistema deve calcular automaticamente o valor líquido a pagar quando houver retenção de IRPF para fornecedores autônomos.,
,RF - 40,O sistema deve permitir registrar múltiplos vencimentos para um mesmo faturamento.,
,RF - 41,O vencimento principal do faturamento deve refletir a data do último pagamento previsto.,
,RF -42,O sistema deve permitir importar para o faturamento horas faturáveis e custos de projeto já registrados na operação.,
,RF - 43,O sistema deve permitir converter itens faturáveis de propostas em itens de faturamento.,
,RF - 44,O sistema deve calcular automaticamente o saldo em aberto do faturamento com base nos lançamentos financeiros associados.,
,RF - 45,O sistema deve marcar o faturamento como pago quando os lançamentos financeiros cobrirem o valor total devido.,
,RF - 46,"O sistema deve permitir associar faturamentos a títulos de crédito, alterando o estado do faturamento para refletir essa vinculação.",
,RF - 47,"O sistema deve permitir que a associação a um título de crédito gere ou não um novo vencimento, conforme a escolha do usuário.",
,RF - 48,"O sistema deve permitir acompanhar indicadores financeiros, títulos de crédito, necessidade operacional de fundos e rotinas fiscais já contempladas no sistema.",
"Documentos, conteúdo e comunicação interna",RF - 49,O sistema deve permitir organizar documentos por categorias.,
,RF - 50,"O sistema deve permitir manter versões de um mesmo documento, com arquivo, data e identificação da versão.",
,RF - 51,O sistema deve permitir associar documentos a responsáveis e áreas organizacionais.,
,RF - 52,"O sistema deve criar e manter automaticamente uma categoria documental própria para cada usuário, permitindo separar documentação individual.",
,RF - 53,O sistema deve permitir navegar dos dados do usuário para sua documentação associada.,
,RF - 54,"O sistema deve permitir manter publicações, revistas e tutoriais como base de conhecimento institucional.",
,RF - 55,O sistema deve permitir manter murais de avisos por categoria.,
,RF - 56,O sistema deve exibir avisos públicos na entrada do sistema.,
,RF - 57,"O sistema deve permitir manter outros conteúdos de apoio à gestão, como ideias, inventário, tags e links.",
Pedidos e comissionamentos,RF - 58,"O sistema deve permitir registrar pedidos/comissionamentos vinculados a projetos, revisores, colaboradores e dados de pagamento.",
,RF - 59,"O sistema deve controlar o fluxo do pedido com estados como criado, aprovado, aceito, confirmado, validado e finalizado.",
,RF - 60,"O sistema deve permitir registrar atrasos, alterações e arquivos relacionados ao pedido.",
,RF - 61,O sistema deve preservar o histórico textual das mudanças ocorridas ao longo do fluxo do pedido.,
,RF - 62,O sistema deve permitir o envio por e-mail de documentos relacionados ao pedido.,
Relatórios e saídas de informação,RF - 63,"O sistema deve disponibilizar relatórios por domínio de negócio, incluindo faturamento, horas, projetos, propostas, interações, organizações, uso pessoal e comissionamentos.",
,RF - 64,"O sistema deve permitir exportar relatórios em múltiplos formatos, incluindo CSV, PDF, HTML, RTF, XLS e ODT.",
,RF - 65,"O sistema deve permitir exportar consultas operacionais específicas, como busca avançada de contatos e relatório global de horas, em formato CSV.",
Segurança e controle de acesso,RNF - 66,"O sistema deve controlar acesso por perfil de usuário, com níveis distintos como administrador, supervisor, equipe interna, usuário comum, gerente de projeto e cliente.",
,RNF - 67,"O sistema deve restringir operações sensíveis por escopo de atuação, permitindo regras como acesso total, acesso somente aos próprios registros ou acesso por área.",
,RNF - 68,"O sistema deve suportar autenticação local e autenticação via LDAP, conforme configuração do ambiente.",
,RNF - 69,"O sistema deve aplicar controle de acesso também sobre documentos, faturamentos, usuários e demais entidades críticas.",
Confiabilidade das regras de negócio,RNF - 70,"O sistema deve realizar automaticamente cálculos críticos de negócio, como saldo de férias, total do faturamento, saldo em aberto, retenções e vencimento final.",
,RNF - 71,"O sistema deve manter coerência entre módulos relacionados, como usuário e sua pasta documental, proposta e faturamento, faturamento e título de crédito.",
,RNF - 72,"O sistema deve preservar versões documentais e histórico de alterações em processos que exigem rastreabilidade, como documentos e comissionamentos.",
Comunicação e integração operacional,RNF - 73,"O sistema deve permitir envio de notificações por e-mail para eventos relevantes de negócio, como férias, expiração contratual, redefinição de senha, evidências pendentes e pedidos.",
,RNF - 74,"O sistema deve gerar saídas interoperáveis para consumo externo, especialmente por meio de arquivos CSV e relatórios em formatos de mercado.",
Operação e continuidade,RNF - 75,"O sistema deve operar com armazenamento externo para anexos e relatórios, de forma a manter documentos e saídas organizados fora da aplicação.",
,RNF - 76,"O sistema deve validar, na inicialização, se os diretórios e arquivos essenciais de configuração estão disponíveis.",
,RNF - 77,O sistema deve preparar automaticamente a estrutura mínima necessária para armazenamento de arquivos enviados pelos usuários.,
,RNF - 78,"O sistema deve permitir que regras operacionais específicas sejam habilitadas ou desabilitadas por configuração, como edição de faturamentos, uso de LDAP e envio de notificações.",
Usabilidade e padronização de uso,RNF - 79,"O sistema deve oferecer navegação padronizada baseada em consulta, detalhe, edição, criação e pesquisa para os principais módulos.",
,RNF - 80,"O sistema deve apoiar a rotina do usuário com filtros, ordenação, pesquisas por período, atalhos de navegação e valores padrão coerentes com o contexto de uso.",
,RNF - 81,O sistema deve permitir exportação e visualização de informações de forma simples para apoiar decisões operacionais e gerenciais.,
Idioma e interoperabilidade textual,RNF -82,"O sistema deve suportar, no mínimo, português, espanhol e inglês nas mensagens e textos de interface.",
,RNF - 83,"O sistema deve tratar textos e arquivos com codificação compatível com caracteres internacionais, preservando nomes, descrições e conteúdos multilíngues.",
