microservice_name,responsibility,communicates_with
Master Data Administration Service,"Maintains shared supporting master data (departments, contract types, user categories, organization/interaction types, tax reasons, billing schemes, frequencies) and per-user application settings used across other areas.",People and HR Service;CRM and Proposals Service;Time and Activity Service;Finance and Billing Service
People and HR Service,"Registers and maintains users with personal and contractual data, department, category, access profile, employment agreements, and password administration.",Master Data Administration Service;Vacation Management Service;Security and Access Control Service;Notification Service;Document Management Service
Vacation Management Service,"Records vacation requests, manages their pending/accepted/rejected/cancelled lifecycle, calculates balances and prorated entitlements over business days, and requests approver notifications.",People and HR Service;Notification Service
CRM and Proposals Service,"Maintains organizations, contacts, external collaborators, job roles, and interactions; manages proposals through their lifecycle and converts billable items into billing drafts.",Master Data Administration Service;Finance and Billing Service;Time and Activity Service
Time and Activity Service,"Manages projects, activities, roles, objectives and work allocations; classifies billable/non-billable and counting time, computes worked hours, and enforces evidence policies. Exposes operational billable hours and project costs for import into billing (RF-42).",Master Data Administration Service;CRM and Proposals Service;Finance and Billing Service;Notification Service
Finance and Billing Service,"Manages accounts, transactions, receivables/payables, billing records with items, taxes, due dates, payment state, and credit instruments, including automatic financial calculations. Imports operational billable hours and project costs from Time and Activity into billing (RF-42) in addition to converting proposal billable items from CRM (RF-24/RF-43).",Master Data Administration Service;CRM and Proposals Service;Time and Activity Service
Document Management Service,"Organizes versioned documents by category, associates them with people and areas, maintains knowledge base publications and notice boards, and stores document attachments/versions used by other areas (including order-related documents) on external storage.",People and HR Service;Orders and Commissions Service
Orders and Commissions Service,"Records orders and commissions linked to projects and collaborators, controls their workflow states, preserves change history, and sends related documents by email using stored document attachments.",Time and Activity Service;Document Management Service;Notification Service
Reporting Service,"Generates domain reports (billing, hours, projects, proposals, interactions, organizations, commissions) and exports them in CSV, PDF, HTML, RTF, XLS, and ODT formats, persisting generated outputs to external storage.",Finance and Billing Service;Time and Activity Service;CRM and Proposals Service;Orders and Commissions Service;Platform Operations Service
Security and Access Control Service,"Controls access by user profile and scope of responsibility, supports local and LDAP authentication, and applies access control to critical entities.",People and HR Service
Notification Service,"Sends email notifications for relevant business events such as vacation requests, contract expiry, pending evidence, and orders.",Vacation Management Service;People and HR Service;Time and Activity Service;Orders and Commissions Service
Platform Operations Service,"Provides operations and continuity capabilities: external storage for attachments and reports, startup validation of essential configuration directories and files, automatic preparation of the minimum file structure for user uploads, and toggling of operational rules (editing billing, LDAP usage, notifications) by configuration.",Document Management Service;Reporting Service;Finance and Billing Service;Security and Access Control Service;Notification Service
