Requisitos - Categorias,Identificação,Descrição
Catálogo e Navegação,RF - 01,O sistema deve permitir que visitantes e clientes entrem na loja virtual e naveguem pelo catálogo principal.
,RF - 02,"O sistema deve organizar os produtos por categorias de animais, contemplando as categorias de peixes, cães, répteis, gatos e aves."
,RF - 03,"O sistema deve permitir o acesso às categorias por diferentes caminhos de navegação, como menu principal, atalhos rápidos e elementos visuais da página inicial."
,RF - 04,O sistema deve permitir a visualização da lista de produtos de cada categoria.
,RF - 05,O sistema deve permitir a visualização dos itens disponíveis de cada produto.
,RF - 06,"O sistema deve permitir a visualização do detalhamento de cada item, incluindo descrição, identificação, preço e situação de estoque."
Pesquisa de Produtos,RF - 07,O sistema deve permitir pesquisar produtos por palavra-chave.
,RF - 08,A pesquisa deve considerar o nome do produto como base para retorno dos resultados.
,RF - 09,"Quando nenhuma palavra-chave for informada, o sistema deve impedir a pesquisa e orientar o usuário a preencher o campo de busca."
"Cadastro, Acesso e Perfil do Cliente",RF - 10,"O sistema deve permitir o cadastro de novos clientes por meio do preenchimento de dados de identificação, contato, endereço e credenciais de acesso."
,RF - 11,O sistema deve permitir que o cliente realize autenticação informando usuário e senha.
,RF - 12,O sistema deve informar quando a autenticação não puder ser concluída em razão de usuário ou senha inválidos.
,RF - 13,O sistema deve permitir que o cliente encerre sua sessão de uso.
,RF - 14,O sistema deve permitir que o cliente edite seus dados cadastrais e preferências de perfil.
,RF - 15,O sistema deve permitir que o cliente defina idioma de preferência.
,RF - 16,O sistema deve permitir que o cliente escolha uma categoria favorita.
,RF - 17,O sistema deve permitir que o cliente habilite uma lista personalizada de produtos com base em sua categoria favorita.
,RF - 18,O sistema deve permitir que o cliente habilite a exibição de um banner promocional relacionado à sua categoria favorita.
Carrinho de Compras,RF - 19,O sistema deve permitir incluir itens no carrinho de compras a partir das páginas de produto e de detalhe do item.
,RF - 20,"Quando o mesmo item for adicionado mais de uma vez, o sistema deve consolidar o item no carrinho e aumentar sua quantidade."
,RF - 21,"O sistema deve permitir visualizar o carrinho com a relação dos itens selecionados, quantidades, preços unitários e totais por item."
,RF - 22,"O sistema deve informar, para cada item no carrinho, se ele se encontra disponível em estoque no momento da inclusão."
,RF - 23,O sistema deve permitir a atualização das quantidades dos itens no carrinho.
,RF - 24,O sistema deve permitir a remoção de itens do carrinho.
,RF - 25,"Quando a quantidade informada para um item for menor que 1, o sistema deve removê-lo do carrinho."
,RF - 26,O sistema deve calcular automaticamente o subtotal do carrinho com base nos itens e nas quantidades selecionadas.
Estoque e Disponibilidade,RF - 27,O sistema deve informar a disponibilidade de estoque na visualização do item.
,RF - 28,"Quando não houver quantidade disponível em estoque, o sistema deve indicar que o item está sob encomenda."
,RF - 29,"Ao concluir um pedido, o sistema deve registrar a baixa da quantidade comprada no estoque."
Processo de Compra e Pedido,RF - 30,O sistema deve exigir que o usuário esteja autenticado para iniciar o processo de fechamento da compra.
,RF - 31,"Ao iniciar um pedido, o sistema deve utilizar os dados cadastrais do cliente para preencher inicialmente as informações de cobrança e entrega."
,RF - 32,O sistema deve utilizar os itens do carrinho para compor automaticamente o pedido.
