microservice_name,responsibility,communicates_with
Identity and Access Service,"Manages users, personal and contractual data, access profiles, authentication (local and LDAP), password lifecycle (change, reset, expiry), profile-based authorization, and scope-based access control over critical entities. Derived from People/HR user management and Security requirements (RF-04..06, RNF-66..69) and the com.autentia.tnt.manager.security package.",HR and Vacation Service;Document Management Service;Notification Service;Administration and Master Data Service
HR and Vacation Service,"Manages employment agreements, vacation requests and their lifecycle (pending, accepted, rejected, cancelled), vacation balance calculation using business days and proportional entitlement, contract/probation expiry tracking, and related validations. Derived from People/HR requirements (RF-03, RF-06..15).",Identity and Access Service;Notification Service;Administration and Master Data Service
CRM and Proposals Service,"Manages organizations, contacts, external collaborators, job roles, interaction types, commercial interactions, advanced contact search/export, and the full proposal lifecycle including composition, classification, duplication, and conversion into billing drafts. Derived from CRM requirements (RF-16..24) and the com.autentia.tnt.bean.contacts / manager.contacts packages.",Billing Service;Projects and Activities Service;Administration and Master Data Service;Reporting Service
Projects and Activities Service,"Manages projects associated with clients, activity/time reporting by employee, billable/non-billable classification, workday time computation, objectives and work allocations, and evidence policies with email alerts for pending weekly evidence. Derived from Projects/Activities requirements (RF-02, RF-25..33) and com.autentia.tnt.bean.activity.",Billing Service;Notification Service;Administration and Master Data Service;Reporting Service;Identity and Access Service
Billing Service,"Manages accounts receivable/payable, billing records with items, taxes, notes and attachments, automatic total/net/outstanding/due-date calculations, multiple due dates, payment status, credit-instrument association, and imports of billable hours/costs and proposal items into billing. Derived from Finance and billing requirements (RF-36..48, RF-24, RF-43) and manager.billing.",Finance Transactions Service;CRM and Proposals Service;Projects and Activities Service;Reporting Service;Document Management Service
Finance Transactions Service,"Manages financial accounts, transaction types, transaction groups, recurring financial transactions, copying of recurrence patterns, and financial indicators/working-capital tracking that feed billing balance and payment status. Derived from Finance requirements (RF-34, RF-35, RF-44, RF-48).",Billing Service;Reporting Service
Orders and Commissions Service,"Manages orders and commissions linked to projects, reviewers, collaborators and payment data, the order workflow states, delays/changes/files, textual change history, and emailing of order-related documents. Derived from Orders and commissions requirements (RF-58..62, RNF-72).",Projects and Activities Service;Notification Service;Document Management Service;Reporting Service
Document Management Service,"Manages document categorization, versioning with traceability, association of documents with responsible people and organizational areas, per-user document folders, institutional knowledge base (publications, magazines, tutorials), notice boards, public notices, and supporting content (ideas, inventory, tags, links). Uses external storage for attachments. Derived from Documents/content requirements (RF-49..57, RNF-71, RNF-72, RNF-75).",Identity and Access Service;Billing Service
Administration and Master Data Service,"Maintains supporting master data used across the system, such as departments, contract types, user categories, organization types, interaction types, tax reasons, billing schemes, frequencies, and individual user settings/preferences. Derived from Administration requirements (RF-01, RF-ADM-04) and manager.admin.",HR and Vacation Service;CRM and Proposals Service;Projects and Activities Service;Billing Service
Reporting Service,"Provides consolidated and domain-specific reports (billing, hours, projects, proposals, interactions, organizations, personal use, commissions) and exports in multiple formats (CSV, PDF, HTML, RTF, XLS, ODT), including operational query exports. Derived from Reports requirements (RF-30, RF-63..65) and com.autentia.tnt.report / bean.reports packages using JasperReports.",Billing Service;Finance Transactions Service;Projects and Activities Service;CRM and Proposals Service;Orders and Commissions Service
Notification Service,"Sends configurable email notifications for relevant business events such as vacation requests, contract/probation expiry, password reset, pending evidence, and orders, with configuration-based enabling/disabling. Derived from operational communication requirements (RF-14, RF-15, RF-33, RF-73, RNF-78).",HR and Vacation Service;Projects and Activities Service;Orders and Commissions Service;Identity and Access Service
